target_code;target_content;target_assessment;sub_theme
TA6.41;"Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition. Such measures shall be in place: (a) on at least 30% by 2030 of the total area of groups 1–6 of habitat types listed in Annex II [...], (b) on at least 60% by 2040 and on at least 90% by 2050 of the area of each of the groups 1–6 of habitat types listed in An- nex II [...], (c) on at least two thirds of the percentage, referred to in point (d), by 2040 of the area of group 7 of habitat types listed in Annex II [...]
'Nature Restoration Law'";"The EU has reached only 12% of MPA, with less than 1% being strictly protected. The target could be partially achieved if the NRL is immediately implemented (including a clear financial system), along with the targets of the Biodiversity Strategy (i.e. 30% MPA and 10% strictly protected areas), and if Member States react in a timely manner.
The complete achievement of the target is strictly dependent on the restoration methods and selected marine ecosystems to be restored. The timescale of the recovery period varies as diverse are the marine habitats to restore. Beyond this there are other challenges that Member States have to face [205].
The actual implementation of the BDS target on effective marine protected areas (30% overall and 10% strictly protected by 2030), through passive restoration method, as well as the other directives (e.g. WFD and MSFD), and the 2023 Marine Action Plan would contribute to achieve this target.
Regarding the condition and restoration, there are only two ways to judge this: (a) comparison with old large fully protected MPA, and (b) the use of indicators, some of which still need to be developed. There is no data on how impacted most areas are, but indicators such as present fishing activities altering food webs, or bottom trawling and dredging destroying benthic habitats, would contribute to the final assessment. However, the precautionary principle should be applied, assuming marine ecosystems everywhere are impacted unless evidence suggests otherwise.";
TA6.42;"ecosystems. Member States shall put in
place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area. Such measures shall be in place on areas representing at least 30% of the additional overall surface needed to reach the total favourable reference area of each group of habitat types, as quantified in the national restoration plan referred to in Article 12, by 2030, at least 60% of that surface by 2040, and 100% of that surface by 2050.
'Nature Restoration Law'";"Considering the last report on the conservation status and trend in conservation status of marine habitats, most of the marine areas are between categories UNFAVOURABLE (U1/U2) and UNKNOWN (XX) status.
There are some examples of restoration measures already put in place across European Sea, but without an immediate implementation of NRL, as well as other directives (e.g. BDBS, WFD, MSFD), the EGD target would not be achieved Additional observation: As mentioned before, marine restoration can be achieved passively by no take MPA. Therefore, the increase in area that is fully protected would be a reasonable indicator of restoration. To the best of available knowledge, there is no evidence that part-protection works. Evidence of recovered species usually appear within five years but full recovery e.g. of urchin-kelp trophic cascades, may take 20 years. Since restoration is by definition a return to fully natural conditions, partly protected areas do not qualify as restoration.
Regarding the condition and restoration of marine areas, there are only two ways to judge this: (a) comparison with old, large fully protected MPA, and (b) the use of indicators, some of which still need to be developed. There is no data on how impacted most areas are, but indicators such as current fishing activities altering food webs, or bottom trawling and dredging destroying benthic habitats, would contribute to the final assessment. However, the precautionary principle should be applied, assuming marine ecosystems everywhere are impacted unless evidence suggests otherwise.";
TA6.43;"Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for
at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition
of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050.
'Nature Restoration Law'";In the last report on the conservation status and trend in conservation status of marine habitats, there is still a quite important percentage of marine environ- ments with UNKNOWN status (either XX or U1/U2) [206]. Member States should implement more effective monitoring programmes to assess the status of marine habitats in order to achieve the EGD target.;
TA6.44;"(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level
of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features. 'Nature Restoration Law'";At the moment the trend in the grassland butterfly index is still declining. The carbon stocks in EU agricultural soils have declined by 0.75% in the period 2009-2018 based on measured LUCAS data. So at the moment at least 2 out of three indicators are moving against the desired direction [199].;
TA6.45;"(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds, (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.
'Nature Restoration Law'";The common farmland bird index is steadily decreasing [207], [208].;
TA6.46;"(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted.
'Nature Restoration Law'";The EU Soil Observatory (EUSO) established [196], [197] that over 60% of the EU land is affected by soil degradation. This is considered an underestimation due to the lack of data currently available.;
TA6.47;"(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level. 'Nature Restoration Law'
Parallel target of the Biodiversity Strategy: “9. Three billion trees are planted in the EU, in full respect of ecological principles”";At the time of writing (mid-2024), over 23.000.000 trees have been planted since 2021 (see the Live Status Counter for EU dashboard). The pace of new trees planted has to massively speed up to reach the target by 2030.;
TA6.48;"(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the
following indicators in forest ecosystems, as further set out in Annex VI, chosen on the basis of their ability to demonstrate the enhancement of biodiversity of forest ecosystems within the Member States concerned: (a) standing deadwood (b) lying deadwood (c) share of forests with uneven-aged structure (d) forest connectivity (e) stock of organic carbon (f) share of forests dominated by native tree species (g) tree species diversity.
'Nature Restoration Law'";New target, data not yet available;
TA6.49;"(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached
'Nature Restoration Law'
Parallel target of the Biodiversity Strategy: “4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend”";After a steady decline over the period 1992-2010, common forest bird populations have stopped deteriorating and started showing some signs of recovery since 2010 [2], [207], [208]. Next data points for the common forest bird index will be crucial to confirm this recent increasing trend.;
TA6.50;"Reach no net land take
(EU Soil Strategy for 2030)";"Over the 2012-2018 period, the majority (78%) of the net land take happened in commuting zones. The net land take in urban areas during 2012-2018 amounted to 2.696 km2, corresponding to 450km2 annually. 1 415km2 or 47% of all land take took place in arable lands, impacting food security, carbon sequestration and the maintaining of biodiversity. The second largest land take took place
  in pastures — a loss of 945km2 or 36% of all land take. Pastures are among Europe’s most important biodiversity hotspots and soil carbon sinks.";
TA6.51;"Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive.
Directive 2020/2184 (‘Drinking Water Directive)";"The level of access to clean drinking water in Europe is high according to the WASH database by the WHO and UNICEF. However, as reported by the EEA,
the levels of treatment and accessibility are lower in rural areas than in urban locations. Disparities in access to safe drinking water among ethnic groups in Europe emerged as well. The revised Drinking Water Directive includes additional parameters than the 46 microbiological, chemical and indicator parameters of the first Drinking Water Directive. The new parameters include per- and polyfluorinated compounds and bisphenol A, setting limit values for their presence in drinking water. As of the end of 2022, EU level data on drinking water quality were still limited, with the latest data available dating from 2011 and 2013. The new directive also foresees a watch list mechanism for emerging pollutants.
The Directive’s Impact Assessment includes the calculation of the “SAPEA” Popu- lation Potentially at Health Risk indicator, estimating the share of the population that could potentially suffer from health problems because of the presence of contaminants in drinking water. According to the indicator, in 2015, 22.7 million people were potentially at health risk due to non-safe drinking water, equivalent
to 4 % of the EU population. The revised Directive is expected to positively impact drinking water quality. However, estimated data for 2015 is not sufficient to assess the status of drinking water quality with respect to its evolution over time and new additional parameters by the revised directive, as confirmed by the EEA. Member States have started complying with the reporting requirements in 2023.";
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene. The Directives take into account relevant World Health Organisation standards, guidelines and programmes. The Directives also guide the assessment of air quality by establishing a representative high-quality monitoring network, with more than 4.000 air quality monitoring stations across the EU, and by exchanging reliable, objective, comparable information on air quality, including to a wider public. Where levels are elevated above limit or target values, Member States should prepare an air quality plan or programme to address the sources responsible to ensure compliance and to keep exceedance periods as short as possible. In addition, information on air quality should be disseminated to the public. ;In the European Union, air pollution is the single largest environmental health risk, causing cardiovascular and respiratory diseases that lead to the loss of healthy years of life and, in the most serious cases, premature deaths (about 240 000 reported in the European Union (EU) for 2021). Although emissions of air pollutants have been reduced over recent decades (primarily as a result of legislation), air quality remains a major concern in many parts of Europe. Air quality limits set by EU legislation for particulate matter, nitrogen dioxide and ozone continue to be exceeded, especially in many urban areas.;
TA6.62;"The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU by harmonised minimum water quality requirements for the safe reuse of treated urban wastewaters in agricultural irrigation. Further requirements are set for monitoring, risk management, transparency and permits
on production and supply of reclaimed water for agricultural irrigation
Regulation 2020/741 (‘Water reuse Regulation’)";Before the introduction of the Regulation, the EU was not equipped with a legislative framework for water reuse. More than 40,000 million m3 of waste- water is treated in the EU every year but only the 2.4% is further treated to be reused. As of April 2024, water reuse for agricultural irrigation is allowed in most Member States. Some Member States, where freshwater resources are abundant and irrigation demand is low, have planned not to allow water reuse for irrigation in their countries. Some Member States have not yet made a final decision, as resource and infrastructure costs still are being evaluated (source: WISE Freshwater website).;
TA7.4;"The Industrial Emissions Directive (IED) aims
at preventing or reducing emissions from large industrial installations and intensive farming into the environment. The revised IED includes new provisions related to resource, energy and water efficiency and to the reduction of use and emissions of hazardous substances. The scope has been widened to include metal mining, batteries giga-factories, waste landfills and intensive farming. The revised IED contains also a set of measures to facilitate and accelerate the uptake of innovative techniques by industry.
Directive 2024/1785 on Industrial Emissions and the landfill of waste";The IED is a key instrument to support the transition of the EU industry towards a climate neutral, clean and circular economy. The revised legislation will lead to a considerable reduction of pollution from industry and level the playing field. For example, it is expected to deliver, latest by 2050, up to 40% additional reduction of key air pollutants.;
TA7.5;"The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised groups, while aligning with the ZPAP and EGD climate and energy objectives.
This will be ensured by a number of new obligations on secondary treatment, now extended to all agglomerations with at least 1 000 population equivalent , by 2035. Member States will ensure the application of:
- Tertiary treatment, for the removal of nitrogen and phosphorus (by 2039)
- Quaternary treatment, for the removal of a broad spectrum of micropollutants (by 2045)
These apply to larger plants of 150 000 p.e. (and above, with intermediate targets).
Directive concerning urban wastewater treatment";"Access to sanitation. There is a positive trend in the access to basic sanitation and connection to secondary wastewater treatment. Overall, the share of population without a bath, shower, or indoor flushing toilet in their household decreased from 2.2% in 2015 to 1.5% in 2020 [234]. However, in some Member States, there were still high shares of the population without access to basic sanitary facilities in 2020. The share of the EU population connected to secondary wastewater treatment has also increased continuously since 2000, reaching 81.1% in
2020 [234]. The revision of the Urban Wastewater Treatment Directive aims to bring additional improvements not only for water quality, but also for access to sanitation [235].
Secondary treatment. Small agglomerations constitute a significant pressure
on 11% of the EU’s surface water bodies [236]. Currently, the situation varies across the EU, with some Member States requesting all urban wastewater to be treated and others having set standards for small agglomerations beyond the requirements set in Directive 91/271/EEC [237].
Tertiary treatment. In many cases, nitrogen and phosphorus are well removed from wastewater, but there are still regions where additional removal could bring a significant benefit to the environment. In many cases, the costs of additional removal are well below the benefits that could be achieved, and some wastewater treatment plants operate already beyond the requirements of Directive 91/271/ EEC. The revision of the Directive aims to push nutrient removal further by imposing stricter standards. This would also contribute indirectly to the reduction of GHG emissions.
Quaternary treatment. While secondary and tertiary wastewater treatment
is being implemented compliant with Directive 91/271/EEC, several chemical micropollutants escape treatment plants and contribute to pollution of the receiving waters (e.g. pharmaceuticals and ingredients in personal care products). The revision of the Directive aims to require quaternary treatment for all larger plants, also based on an extended producer responsibility scheme that would help finance the corresponding treatment costs.";
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;Considering soil quality and pesticides, reduction of (more hazardous) pesticide concentration in soil due to increased organic farming (as well as other agricultural practices) and other farm-to-fork objectives. Under current legal limitations (28 kg of copper per hectare over 7 years), a potential risk of increased organic farming could be an accumulation of copper in soil.;
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;"Considering water quality and nutrient losses, there is a possible reduction of nutrient inputs into marine ecosystems: nitrogen 32%, phosphorous 17%. 50% reduction of nutrient input could be achieved in four out of ten examined regions for nitrogen and in two out of ten for phosphorous. Source: Zero Pollution Outlook [218].
Considering water quality and chemical pesticides, and in particular chemicals load (diuron and terbuthylazine, as examples of low- and high-persistence chemicals, respectively) in water: 56% reduction in pesticides concentration can be achieved in shelf seas, 12% in open seas, depending on the persistence of the pesticide. Source: Zero Pollution Outlook [218].";
TA7.9;"Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030
(2030 target contributing to the 2050 ambition of a toxic-free environment)";As a result of the revision to the new Ambient Air Quality Directive, it is likely that reductions by over 70%, compared to 2005 levels, can be achieved by 2030. Source: Zero Pollution Outlook [218].;
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);Concentration of plastic litter at sea: 14% reduction of plastic litter (in 8% of the basin surface of the Mediterranean Sea and 44% of all beaches) with a total ban on single-use-plastic items. Source: Zero Pollution Outlook [218].;
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);Microplastics concentration in soils is expected to increase, mainly due to the incorporation through the disposal of the sewage sludge and other agricultural practices such as plastics greenhouse, mulching films, drip irrigation, polymer-con- trolled release fertilisers and silage films. However, there is no harmonised methodology for their identification and quantification, and one should still be developed. The current database on soil pollution with plastics is still poor and no good prediction could be done. The EU has taken measures to combat microplastic pollution on all fronts (e.g. ban of certain single-use plastic products, restriction of intentionally produced microplastics and reduction of plastic pellet loss), aiming at reducing microplastic releases to the environment by 30% by 2030.;
TA7.13;"Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005) (2030 target contributing to the 2050 ambition of a toxic-free environment)
";Current and proposed EU policies do not appear sufficient to enable the EU to reduce the area of EU ecosystems under threat from air pollution by 25% in 2030 compared to 2005. Nonetheless, with the implementation of the recently revised of the Ambient Air Quality Directives, this target could be achieved. Source: Zero Pollution Outlook [218].;
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017) (2030 target contributing to the 2050 ambition of a toxic-free environment);Current estimates show that the number will not decline by more than 19% by 2030. Source: Zero Pollution Outlook [218].;
TA7.15;Having all soils in healthy condition by 2050;The EU Soil Health Assessment (see EUSO Dashboard) estimated that 60-70% of EU soils are not in healthy condition, in accordance also with other reports [196], [238]. 25% of the EU soils and 33% of EU Agricultural soils have soil erosion rates higher than sustainability ones. Soil erosion has decreased by around 10% in the period 2000-2016, but future trends are alarming due to climate change. Soil loss by water erosion is projected to increase by 13–22.5 % in EU and UK by 2050.;
TA7.16;"By means of an updated and harmonised list of pollutants affecting surface and groundwater,
updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns, the proposal aims at setting new high standards for a series of chemical substances of concern to address chemical pollution in water. Proposal for a Directive amending the Water Framework Directive, the Groundwater Directive, and the Environmental Quality Standards Directive";"Micro-pollutants pose a significant challenge. The necessity of removing them
at wastewater treatment facilities increases treatment costs, and complete removal is not always feasible. The proposal encourages more proactive measures upstream by reducing emissions at their source. By avoiding water pollution, the proposal will also benefit the potential for water reuse. The enhanced watch list mechanism requiring Member States to monitor new substances, will enable
the Commission, with the support of the European Chemicals Agency and the Member States, to determine the need for additional or stricter quality standards. More frequent reporting of actual monitoring data, and its analysis by the EEA, will provide the EU Institutions, Member States, and the general public with a more precise and current understanding of the status of surface and groundwater bodies in the EU. The analysis of more regular monitoring and status data will effectively feed into the broader Zero Pollution Monitoring and Outlook framework";
