;target_code;target_content;thematic_area;sub_theme;justification;Unnamed: 5;Unnamed: 6;Unnamed: 7
228;TA6.29; Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union tar- get, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.\n'Nature Restoration Law'; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring terrestrial ecosystems.";;;
229;TA5.3; Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Competitive Agriculture;" This target is assigned to the sub-theme ""Competitive Agriculture"" because it aims to reduce nutrient losses while maintaining soil fertility, which is crucial for agricultural productivity.";;;
230;TA2.13; The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or\n(ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.\nRED III (Directive (EU) 2023/2413); TA2_Clean, affordable and secure energy; Renewable Energy;" This target is assigned to the sub-theme ""Renewable Energy"" because it aims to increase the share of renewable energy in the transport sector.";;;
231;TA2.18; Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030. RED III (Directive (EU) 2023/2413); TA2_Clean, affordable and secure energy; Renewable Energy - Heating & Cooling;" This target is assigned to the sub-theme ""Renewable Energy - Heating & Cooling"" because it focuses on increasing the share of renewable energy in the building sector.";;;
232;TA6.3; 2.a Strictly protect at least a third of the EU'S protected areas; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to strictly protect a significant portion of the EU's protected areas.";;;
233;TA3.48; The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Vehicle Circularity;" This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it focuses on increasing the use of recycled plastic in vehicle production.";;;
234;TA5.33; Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality - Healthy Food;" This target is assigned to the sub-theme ""Food quality - Healthy Food"" because it aims to promote healthier and more sustainable diets.";;;
235;TA6.16; 14. Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation - Urban Nature;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Urban Nature"" because it focuses on urban greening and biodiversity conservation in cities.";;;
236;TA4.7; Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413; TA4_Sustainable and smart mobility; Low-carbon fuels;" This target is assigned to the sub-theme ""Low-carbon fuels"" because it aims to increase the share of low-carbon fuels in the transport sector.";;;
237;TA6.2; 1.b Legally protect a minimum of 30% of the EU's sea area; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to legally protect a significant portion of the EU's sea area.";;;
238;TA6.8;" 5. The decline of pollinators is reversed (the target is in common with ""A New Deal for Pollinators"")"; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to reverse the decline of pollinators.";;;
239;TA3.49; At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned.\nProposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Vehicle Circularity;" This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it focuses on increasing the use of recycled plastic from end-of-life vehicles in new vehicles.";;;
240;TA6.11; 9. Three billion trees are planted in the EU, in full respect of ecological principles; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Forests;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it aims to plant a large number of trees in the EU while respecting ecological principles.";;;
241;TA2.37; By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options.\nAn EU Strategy for Energy System Integration; TA2_Clean, affordable and secure energy; Renewable Energy;" This target is assigned to the sub-theme ""Renewable Energy"" because it aims to increase the share of renewable energy in the electricity mix.";;;
242;TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction;The target is assigned to the GHG Reduction sub-theme because it specifically mentions the reduction of greenhouse gas emissions in various sectors, including transport, buildings, agriculture, and waste.; ;;
243;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.;TA2_Clean, affordable and secure energy;Renewable Energy;The target is assigned to the Renewable Energy sub-theme because it focuses on the production of renewable energy through joint projects between Member States.; ;;
244;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.;TA2_Clean, affordable and secure energy;Energy Infrastructure;The target is assigned to the Energy Infrastructure sub-theme because it involves the establishment of frameworks for cooperation on joint renewable energy projects.; ;;
245;TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;The target is assigned to the Energy Efficiency - Buildings sub-theme because it specifically focuses on reducing primary energy use in residential buildings.; ;;
246;TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen.;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen;The target is assigned to the Renewable Energy - Hydrogen sub-theme because it mentions the use of renewable hydrogen for decarbonizing steel production.; ;;
247;TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;The target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it focuses on the collection and recycling of batteries.; ;;
248;TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;The target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it sets targets for the recovery of lithium from recycled materials.; ;;
249;TA3.27;All packaging shall be recyclable;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;The target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme because it focuses on making all packaging recyclable.; ;;
250;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA4_Sustainable and smart mobility;Biofuels;The target is assigned to the Biofuels sub-theme because it specifically mentions the production of sustainable biomethane, a type of biofuel.; ;;
251;TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990.;TA4_Sustainable and smart mobility;GHG Reduction;The target is assigned to the GHG Reduction sub-theme because it aims to reduce greenhouse gas emissions from the transport sector.; ;;
252;TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;The target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it focuses on the adoption of zero-emission vehicles in urban bus fleets.; ;;
253;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA4_Sustainable and smart mobility;Energy Infrastructure;The target is assigned to the Energy Infrastructure sub-theme because it involves the deployment of publicly accessible recharging stations for electric vehicles.; ;;
254;TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity conservation;The target is assigned to the Biodiversity conservation sub-theme because it aims to reduce the environmental footprint of the EU food system and address deforestation and forest degradation.; ;;
255;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;The target is assigned to the Competitive Agriculture sub-theme because it focuses on enhancing the competitiveness of the EU supply sector in agriculture.; ;;
256;TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Animal Welfare;The target is assigned to the Food quality - Animal Welfare sub-theme because it specifically addresses the improvement of animal welfare in the EU food system.; ;;
257;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;The target is assigned to the Biodiversity Protection & Conservation sub-theme because it aims to legally protect a significant portion of the EU's land area for biodiversity conservation.; ;;
258;TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;The target is assigned to the Terrestrial Ecosystems Restoration - Agricultural Ecosystems sub-theme because it focuses on restoring organic soils in agricultural ecosystems.; ;;
259;TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive.;TA6_Preserving and protecting biodiversity;Improve Water Quality;The target is assigned to the Improve Water Quality sub-theme because it aims to ensure clean and wholesome water for human consumption.; ;;
260;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;The target is assigned to the Improve Soils Health sub-theme because it focuses on improving soil quality through the reduction of nutrient losses.; ;;
261;TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Buildings;The target is assigned to the GHG Reduction - Buildings sub-theme because it includes the reduction of greenhouse gas emissions from the buildings sector.; ;;
262;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;The target is assigned to the Renewable Energy - Solar sub-theme because it specifically mentions the installation of photovoltaic (PV) capacity to increase the share of renewable energy.; ;;
263;TA3.3;Double EU’s circular material use rate in the coming decade;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;The target is assigned to the Circularity/Recycling sub-theme because it aims to increase the circular material use rate in the EU.; ;;
264;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;The target is also assigned to the Net-Zero Technology - Road Vehicles sub-theme because it involves the deployment of recharging infrastructure for electric and hybrid vehicles.; ;;
265;TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;The target is assigned to the Food quality - Healthy Food sub-theme because reducing the environmental footprint of the food system can lead to healthier food options.; ;;
266;TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;The target is assigned to the Biodiversity Protection & Conservation - Monitoring sub-theme because it involves monitoring the restoration of organic soils in agricultural ecosystems.; ;;
267;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;The target is not directly related to noise reduction, this assignment is incorrect and should be revised to a more appropriate sub-theme such as Improve Soils Health or Waste Reduction - Municipal Waste.; ;;
268;TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;GHG Reduction - Methane;The target is assigned to the GHG Reduction - Methane sub-theme because it includes the reduction of greenhouse gas emissions from sectors that may include methane emissions, such as agriculture and waste.; ;;
269;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.;TA2_Clean, affordable and secure energy;Energy Efficiency;The target is assigned to the Energy Efficiency sub-theme because it involves cooperation on joint projects for renewable energy production, which can lead to more efficient energy use.; ;;
270;TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;The target is assigned to the Waste Reduction - Municipal Waste sub-theme because it focuses on the collection and recycling of waste batteries.; ;;
271;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA4_Sustainable and smart mobility;Low-carbon fuels;The target is assigned to the Low-carbon fuels sub-theme because it specifically mentions the production of sustainable biomethane, a type of low-carbon fuel.; ;;
272;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;The target is assigned to the Food affordability sub-theme because fostering competitiveness in the EU supply sector can lead to more affordable food options.; ;;
273;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;The target is assigned to the Terrestrial Ecosystems Restoration sub-theme because it aims to legally protect a significant portion of the EU's land area for biodiversity conservation and restoration.; ;;
274;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Food Waste;The target is not directly related to food waste reduction, this assignment is incorrect and should be revised to a more appropriate sub-theme such as Improve Soils Health.;;;
275;TA1.1;Reduce greenhouse gas emissions by at least 55% by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions.;;;
276;TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Resilience;This target is assigned to the Climate Resilience sub-theme as it aims to achieve a long-term goal of climate neutrality.;;;
277;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Renewable Energy - Solar;This target is assigned to the Renewable Energy - Solar sub-theme as it specifically mentions the installation of photovoltaic (PV) capacity to reach a renewable energy target.;;;
278;TA2.8;The EU has become a global leader in offshore wind, exporting equipment and expertise around the world.;TA2_Clean, affordable and secure energy;Renewable Energy - Ocean/Offshore;This target is assigned to the Renewable Energy - Ocean/Offshore sub-theme as it mentions offshore wind, which is a type of ocean/offshore renewable energy.;;;
279;TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials.;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme as it aims to increase the Union's processing capacity for strategic raw materials.;;;
280;TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be: From 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it specifically mentions the recycling of industrial batteries.;;;
281;TA4.1;Reduce transport’s reliance on fossil fuels without delay and in synergy with zero pollution efforts;TA4_Sustainable and smart mobility;Transport Logistics;This target is assigned to the Transport Logistics sub-theme as it aims to reduce transport's reliance on fossil fuels.;;;
282;TA4.2;The successful decarbonisation of road transport requires a robust capillary infrastructure for alternative fuels.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme as it mentions the decarbonisation of road transport and alternative fuels.;;;
283;TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target is assigned to the Competitive Agriculture sub-theme as it aims to increase organic farming.;;;
284;TA5.19;Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the Food affordability sub-theme as it directly aims to preserve the price affordability of food.;;;
285;TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Transport Logistics;This target is assigned to the Transport Logistics sub-theme as it aims to reduce dependence on long-haul transportation.;;;
286;TA5.30;Ensure affordability to sufficient, nutritious and sustainable food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the Food affordability sub-theme as it aims to ensure affordability of sufficient, nutritious, and sustainable food.;;;
287;TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the Food quality - Healthy Food sub-theme as it aims to increase reformulation of food products for healthy and sustainable diets.;;;
288;TA6.15;Reduce the losses of nutrients from fertilisers by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the Pesticides Reduction sub-theme as it aims to reduce the losses of nutrients from fertilisers.;;;
289;TA6.33;Put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the Terrestrial Ecosystems Restoration - Agricultural Ecosystems sub-theme as it aims to restore habitats of species.;;;
290;TA6.38;Achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the Biodiversity Protection & Conservation - Urban Nature sub-theme as it aims to increase urban tree canopy cover.;;;
291;TA6.43;Ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;This target is assigned to the Biodiversity Protection & Conservation - Monitoring sub-theme as it aims to ensure the condition of habitats is known.;;;
292;TA6.47;Contribute to the commitment of planting at least three billion additional trees by 2030 at Union level.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the Terrestrial Ecosystems Restoration - Forests sub-theme as it aims to plant additional trees.;;;
293;TA7.1;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the Improve Air Quality sub-theme as it directly aims to improve air quality.;;;
294;TA7.2;Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%), by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme as it aims to improve water quality by reducing waste and microplastics.;;;
295;TA7.3;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the Improve Air Quality sub-theme as it aims to reduce air pollution's impact on biodiversity.;;;
296;TA7.4;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017);TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is assigned to the Noise Reduction sub-theme as it directly aims to reduce transport noise.;;;
297;TA7.5;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the Improve Soils Health sub-theme as it aims to improve soil quality by reducing nutrient losses and chemical pesticides' use.;;;
